## NumArray — 通し番号(行 = series number 0..540)ごとの番号メタ情報。1 行 6 列。
## col0=series number(=行)  col1=International Table 番号  col2=サブシリーズ番号
## col3=点群番号(推定)  col4=結晶系番号(推定)  col5=結晶系/ラウエ群コード(5 6=六方・三方系判定)
## コード参照: GetSeriesNumber=col1&&col2 一致行 ・ IsHexBySeries=col5∈{5 6} かつ col2==1。
## series,IT番号,sub,点群,結晶系,系コード
288,60,5,8,3,3
289,60,6,8,3,3
290,61,1,8,3,3
291,61,2,8,3,3
292,62,1,8,3,3
293,62,2,8,3,3
294,62,3,8,3,3
295,62,4,8,3,3
296,62,5,8,3,3
297,62,6,8,3,3
298,63,1,8,3,3
299,63,2,8,3,3
300,63,3,8,3,3
301,63,4,8,3,3
302,63,5,8,3,3
303,63,6,8,3,3
304,64,1,8,3,3
305,64,2,8,3,3
306,64,3,8,3,3
307,64,4,8,3,3
308,64,5,8,3,3
309,64,6,8,3,3
310,65,1,8,3,3
311,65,2,8,3,3
312,65,3,8,3,3
313,66,1,8,3,3
314,66,2,8,3,3
315,66,3,8,3,3
316,67,1,8,3,3
317,67,2,8,3,3
318,67,3,8,3,3
319,67,4,8,3,3
320,67,5,8,3,3
321,67,6,8,3,3
322,68,1,8,3,3
323,68,2,8,3,3
324,68,3,8,3,3
325,68,4,8,3,3
326,68,5,8,3,3
327,68,6,8,3,3
328,68,7,8,3,3
329,68,8,8,3,3
330,68,9,8,3,3
331,68,10,8,3,3
332,68,11,8,3,3
333,68,12,8,3,3
334,69,1,8,3,3
335,70,1,8,3,3
336,70,2,8,3,3
337,71,1,8,3,3
338,72,1,8,3,3
339,72,2,8,3,3
340,72,3,8,3,3
341,73,1,8,3,3
342,73,2,8,3,3
343,74,1,8,3,3
344,74,2,8,3,3
345,74,3,8,3,3
346,74,4,8,3,3
347,74,5,8,3,3
348,74,6,8,3,3
349,75,1,9,4,4
350,76,1,9,4,4
351,77,1,9,4,4
352,78,1,9,4,4
353,79,1,9,4,4
354,80,1,9,4,4
355,81,1,10,4,4
356,82,1,10,4,4
357,83,1,11,4,4
358,84,1,11,4,4
359,85,1,11,4,4
360,85,2,11,4,4
361,86,1,11,4,4
362,86,2,11,4,4
363,87,1,11,4,4
364,88,1,11,4,4
365,88,2,11,4,4
366,89,1,12,5,4
367,90,1,12,5,4
368,91,1,12,5,4
369,92,1,12,5,4
370,93,1,12,5,4
371,94,1,12,5,4
372,95,1,12,5,4
373,96,1,12,5,4
374,97,1,12,5,4
375,98,1,12,5,4
376,99,1,13,5,4
377,100,1,13,5,4
378,101,1,13,5,4
379,102,1,13,5,4
380,103,1,13,5,4
381,104,1,13,5,4
382,105,1,13,5,4
383,106,1,13,5,4
384,107,1,13,5,4
385,108,1,13,5,4
386,109,1,13,5,4
387,110,1,13,5,4
388,111,1,14,5,4
389,112,1,14,5,4
390,113,1,14,5,4
391,114,1,14,5,4
392,115,1,14,5,4
393,116,1,14,5,4
394,117,1,14,5,4
395,118,1,14,5,4
396,119,1,14,5,4
397,120,1,14,5,4
398,121,1,14,5,4
399,122,1,14,5,4
400,123,1,15,5,4
401,124,1,15,5,4
402,125,1,15,5,4
403,125,2,15,5,4
404,126,1,15,5,4
405,126,2,15,5,4
406,127,1,15,5,4
407,128,1,15,5,4
408,129,1,15,5,4
409,129,2,15,5,4
410,130,1,15,5,4
411,130,2,15,5,4
412,131,1,15,5,4
413,132,1,15,5,4
414,133,1,15,5,4
415,133,2,15,5,4
416,134,1,15,5,4
417,134,2,15,5,4
418,135,1,15,5,4
419,136,1,15,5,4
420,137,1,15,5,4
421,137,2,15,5,4
422,138,1,15,5,4
423,138,2,15,5,4
424,139,1,15,5,4
425,140,1,15,5,4
426,141,1,15,5,4
427,141,2,15,5,4
428,142,1,15,5,4
429,142,2,15,5,4
430,143,1,16,6,5
431,144,1,16,6,5
432,145,1,16,6,5
433,146,1,16,6,5
434,146,2,17,6,5
435,147,1,17,6,5
436,148,1,17,6,5
437,148,2,17,6,5
438,149,1,18,7,5
439,150,1,18,7,5
440,151,1,18,7,5
441,152,1,18,7,5
442,153,1,18,7,5
443,154,1,18,7,5
444,155,1,18,7,5
445,155,2,18,7,5
446,156,1,19,7,5
447,157,1,19,7,5
448,158,1,19,7,5
449,159,1,19,7,5
450,160,1,19,7,5
451,160,2,19,7,5
452,161,1,19,7,5
453,161,2,19,7,5
454,162,1,20,7,5
455,163,1,20,7,5
456,164,1,20,7,5
457,165,1,20,7,5
458,166,1,20,7,5
459,166,2,20,7,5
460,167,1,20,7,5
461,167,2,20,7,5
462,168,1,21,8,6
463,169,1,21,8,6
464,170,1,21,8,6
465,171,1,21,8,6
466,172,1,21,8,6
467,173,1,21,8,6
468,174,1,22,8,6
469,175,1,23,8,6
470,176,1,23,8,6
471,177,1,24,9,6
472,178,1,24,9,6
473,179,1,24,9,6
474,180,1,24,9,6
475,181,1,24,9,6
476,182,1,24,9,6
477,183,1,25,9,6
478,184,1,25,9,6
479,185,1,25,9,6
480,186,1,25,9,6
481,187,1,26,9,6
482,188,1,26,9,6
483,189,1,26,9,6
484,190,1,26,9,6
485,191,1,27,9,6
486,192,1,27,9,6
487,193,1,27,9,6
488,194,1,27,9,6
489,195,1,28,10,7
490,196,1,28,10,7
491,197,1,28,10,7
492,198,1,28,10,7
493,199,1,28,10,7
494,200,1,29,10,7
495,201,1,29,10,7
496,201,2,29,10,7
497,202,1,29,10,7
498,203,1,29,10,7
499,203,2,29,10,7
500,204,1,29,10,7
501,205,1,29,10,7
502,206,1,29,10,7
503,207,1,30,11,7
504,208,1,30,11,7
505,209,1,30,11,7
506,210,1,30,11,7
507,211,1,30,11,7
508,212,1,30,11,7
509,213,1,30,11,7
510,214,1,30,11,7
511,215,1,31,11,7
512,216,1,31,11,7
513,217,1,31,11,7
514,218,1,31,11,7
515,219,1,31,11,7
516,220,1,31,11,7
517,221,1,32,11,7
518,222,1,32,11,7
519,222,2,32,11,7
520,223,1,32,11,7
521,224,1,32,11,7
522,224,2,32,11,7
523,225,1,32,11,7
524,226,1,32,11,7
525,227,1,32,11,7
526,227,2,32,11,7
527,228,1,32,11,7
528,228,2,32,11,7
529,229,1,32,11,7
530,230,1,32,11,7
531,2,2,2,1,1
532,2,3,2,1,1
533,2,4,2,1,1
534,2,5,2,1,1
535,2,6,2,1,1
536,1,2,1,1,1
537,1,3,1,1,1
538,1,4,1,1,1
539,1,5,1,1,1
540,1,6,1,1,1
